日期(年),單位,再生能源發電量合計,慣常水力,地熱,太陽光電,風力_小計,風力_陸域,風力_離岸,生質能_小計,生質能_固態,生質能_氣態,廢棄物
2003,千度,6209738.518,3034516.43,0,461,23761.62,23761.62,0,394253.5617,297091.7167,97161.845,2756745.907
2004,千度,6584987.812,3209869.181,0,584,25252.811,25252.811,0,348523.6873,279081.3293,69442.358,3000758.133
2005,千度,7540944.957,4071373.596,0,960,91300.426,91300.426,0,323477.9378,262375.6028,61102.335,3053832.997
2006,千度,7743848.414,4088350.767,0,1457,276074.732,276074.732,0,321292.2241,266849.4707,54442.75343,3056673.691
2007,千度,8324811.935,4417549.905,0,2180,439534.507,439534.507,0,302267.4628,246865.1715,55402.29135,3163280.06
2008,千度,8259059.526,4305105.175,0,4473.143,588265.167,588265.167,0,272488.618,226997.2613,45491.35672,3088727.423
2009,千度,7809525.085,3748288.19,0,9112.535,786635.449,786635.449,0,229349.5056,187520.86,41828.64558,3036139.405
2010,千度,8639758.043,4194101.306,0,21727.004,1026337.795,1026337.795,0,270037.6453,234679.0309,35358.61435,3127554.292
2011,千度,8987061.02,3999726.499,0,61622.537,1492676.671,1492676.671,0,236091.0873,209738.9633,26352.12395,3196944.226
2012,千度,10662707.71,5669557.962,0,159869.831,1413468.482,1413468.482,0,242070.1247,218577.39,23492.73475,3177741.309
2013,千度,10858145.91,5422889.721,0,321096.236,1640007.611,1640007.611,0,228480.6935,205349.846,23130.84752,3245671.653
2014,千度,9925065.712,4317861.918,0,528762.129,1500484.383,1500484.383,0,252466.9616,231913.4266,20553.53502,3325490.32
2015,千度,10478832.56,4470146.125,0,850267.948,1525235.707,1525235.707,0,248990.6987,227420.0454,21570.65333,3384192.083
2016,千度,12732754.84,6562040.858,0,1109004.65,1457101.846,1457101.846,0,208055.7098,185761.624,22294.08576,3396551.771
2017,千度,12369312.43,5446814.787,0,1667452.949,1722458.624,1702077.483,20381.141,191585.3759,169449.9837,22135.39229,3341000.695
2018,千度,12653037.99,4481644.615,1.473,2703658.417,1709487.194,1682777.103,26710.091,191649.3148,166439.8597,25209.45508,3566596.973
2019,千度,15266197.34,5544795.913,756.709,4017030.991,1892231.711,1715854.79,176376.921,176520.8753,151433.8272,25087.04811,3634861.145
2020,千度,15186107.79,3019152.286,1911.729,6074673.743,2308871.786,1792791.113,516080.673,211753.8764,141365.5088,70388.36766,3569744.366
2021,千度,17530932.15,3474662.535,9073.84501,7970190.534,2270783.86,1701479.848,569304.012,201707.4768,153172.2667,48535.21014,3604513.899
2022,千度,23885399.12,5836502.664,25007.71,10676987.89,3577476.257,2082797.922,1494678.335,164296.2764,118278.4726,46017.80379,3605128.321
2023,千度,26871225.93,3963022.166,23164.354,12908689.68,6238286.811,1741013.715,4497273.096,238611.7392,171191.473,67420.26614,3499451.184
