"日期.年.","單位","能源種類","發電量"
2003,"千度","再生能源發電量合計",6209738.518
2003,"千度","慣常水力",3034516.43
2003,"千度","地熱",0
2003,"千度","太陽光電",461
2003,"千度","風力_小計",23761.62
2003,"千度","風力_陸域",23761.62
2003,"千度","風力_離岸",0
2003,"千度","生質能_小計",394253.5617
2003,"千度","生質能_固態",297091.7167
2003,"千度","生質能_氣態",97161.845
2003,"千度","廢棄物",2756745.907
2004,"千度","再生能源發電量合計",6584987.812
2004,"千度","慣常水力",3209869.181
2004,"千度","地熱",0
2004,"千度","太陽光電",584
2004,"千度","風力_小計",25252.811
2004,"千度","風力_陸域",25252.811
2004,"千度","風力_離岸",0
2004,"千度","生質能_小計",348523.6873
2004,"千度","生質能_固態",279081.3293
2004,"千度","生質能_氣態",69442.358
2004,"千度","廢棄物",3000758.133
2005,"千度","再生能源發電量合計",7540944.957
2005,"千度","慣常水力",4071373.596
2005,"千度","地熱",0
2005,"千度","太陽光電",960
2005,"千度","風力_小計",91300.426
2005,"千度","風力_陸域",91300.426
2005,"千度","風力_離岸",0
2005,"千度","生質能_小計",323477.9378
2005,"千度","生質能_固態",262375.6028
2005,"千度","生質能_氣態",61102.335
2005,"千度","廢棄物",3053832.997
2006,"千度","再生能源發電量合計",7743848.414
2006,"千度","慣常水力",4088350.767
2006,"千度","地熱",0
2006,"千度","太陽光電",1457
2006,"千度","風力_小計",276074.732
2006,"千度","風力_陸域",276074.732
2006,"千度","風力_離岸",0
2006,"千度","生質能_小計",321292.2241
2006,"千度","生質能_固態",266849.4707
2006,"千度","生質能_氣態",54442.75343
2006,"千度","廢棄物",3056673.691
2007,"千度","再生能源發電量合計",8324811.935
2007,"千度","慣常水力",4417549.905
2007,"千度","地熱",0
2007,"千度","太陽光電",2180
2007,"千度","風力_小計",439534.507
2007,"千度","風力_陸域",439534.507
2007,"千度","風力_離岸",0
2007,"千度","生質能_小計",302267.4628
2007,"千度","生質能_固態",246865.1715
2007,"千度","生質能_氣態",55402.29135
2007,"千度","廢棄物",3163280.06
2008,"千度","再生能源發電量合計",8259059.526
2008,"千度","慣常水力",4305105.175
2008,"千度","地熱",0
2008,"千度","太陽光電",4473.143
2008,"千度","風力_小計",588265.167
2008,"千度","風力_陸域",588265.167
2008,"千度","風力_離岸",0
2008,"千度","生質能_小計",272488.618
2008,"千度","生質能_固態",226997.2613
2008,"千度","生質能_氣態",45491.35672
2008,"千度","廢棄物",3088727.423
2009,"千度","再生能源發電量合計",7809525.085
2009,"千度","慣常水力",3748288.19
2009,"千度","地熱",0
2009,"千度","太陽光電",9112.535
2009,"千度","風力_小計",786635.449
2009,"千度","風力_陸域",786635.449
2009,"千度","風力_離岸",0
2009,"千度","生質能_小計",229349.5056
2009,"千度","生質能_固態",187520.86
2009,"千度","生質能_氣態",41828.64558
2009,"千度","廢棄物",3036139.405
2010,"千度","再生能源發電量合計",8639758.043
2010,"千度","慣常水力",4194101.306
2010,"千度","地熱",0
2010,"千度","太陽光電",21727.004
2010,"千度","風力_小計",1026337.795
2010,"千度","風力_陸域",1026337.795
2010,"千度","風力_離岸",0
2010,"千度","生質能_小計",270037.6453
2010,"千度","生質能_固態",234679.0309
2010,"千度","生質能_氣態",35358.61435
2010,"千度","廢棄物",3127554.292
2011,"千度","再生能源發電量合計",8987061.02
2011,"千度","慣常水力",3999726.499
2011,"千度","地熱",0
2011,"千度","太陽光電",61622.537
2011,"千度","風力_小計",1492676.671
2011,"千度","風力_陸域",1492676.671
2011,"千度","風力_離岸",0
2011,"千度","生質能_小計",236091.0873
2011,"千度","生質能_固態",209738.9633
2011,"千度","生質能_氣態",26352.12395
2011,"千度","廢棄物",3196944.226
2012,"千度","再生能源發電量合計",10662707.71
2012,"千度","慣常水力",5669557.962
2012,"千度","地熱",0
2012,"千度","太陽光電",159869.831
2012,"千度","風力_小計",1413468.482
2012,"千度","風力_陸域",1413468.482
2012,"千度","風力_離岸",0
2012,"千度","生質能_小計",242070.1247
2012,"千度","生質能_固態",218577.39
2012,"千度","生質能_氣態",23492.73475
2012,"千度","廢棄物",3177741.309
2013,"千度","再生能源發電量合計",10858145.91
2013,"千度","慣常水力",5422889.721
2013,"千度","地熱",0
2013,"千度","太陽光電",321096.236
2013,"千度","風力_小計",1640007.611
2013,"千度","風力_陸域",1640007.611
2013,"千度","風力_離岸",0
2013,"千度","生質能_小計",228480.6935
2013,"千度","生質能_固態",205349.846
2013,"千度","生質能_氣態",23130.84752
2013,"千度","廢棄物",3245671.653
2014,"千度","再生能源發電量合計",9925065.712
2014,"千度","慣常水力",4317861.918
2014,"千度","地熱",0
2014,"千度","太陽光電",528762.129
2014,"千度","風力_小計",1500484.383
2014,"千度","風力_陸域",1500484.383
2014,"千度","風力_離岸",0
2014,"千度","生質能_小計",252466.9616
2014,"千度","生質能_固態",231913.4266
2014,"千度","生質能_氣態",20553.53502
2014,"千度","廢棄物",3325490.32
2015,"千度","再生能源發電量合計",10478832.56
2015,"千度","慣常水力",4470146.125
2015,"千度","地熱",0
2015,"千度","太陽光電",850267.948
2015,"千度","風力_小計",1525235.707
2015,"千度","風力_陸域",1525235.707
2015,"千度","風力_離岸",0
2015,"千度","生質能_小計",248990.6987
2015,"千度","生質能_固態",227420.0454
2015,"千度","生質能_氣態",21570.65333
2015,"千度","廢棄物",3384192.083
2016,"千度","再生能源發電量合計",12732754.84
2016,"千度","慣常水力",6562040.858
2016,"千度","地熱",0
2016,"千度","太陽光電",1109004.65
2016,"千度","風力_小計",1457101.846
2016,"千度","風力_陸域",1457101.846
2016,"千度","風力_離岸",0
2016,"千度","生質能_小計",208055.7098
2016,"千度","生質能_固態",185761.624
2016,"千度","生質能_氣態",22294.08576
2016,"千度","廢棄物",3396551.771
2017,"千度","再生能源發電量合計",12369312.43
2017,"千度","慣常水力",5446814.787
2017,"千度","地熱",0
2017,"千度","太陽光電",1667452.949
2017,"千度","風力_小計",1722458.624
2017,"千度","風力_陸域",1702077.483
2017,"千度","風力_離岸",20381.141
2017,"千度","生質能_小計",191585.3759
2017,"千度","生質能_固態",169449.9837
2017,"千度","生質能_氣態",22135.39229
2017,"千度","廢棄物",3341000.695
2018,"千度","再生能源發電量合計",12653037.99
2018,"千度","慣常水力",4481644.615
2018,"千度","地熱",1.473
2018,"千度","太陽光電",2703658.417
2018,"千度","風力_小計",1709487.194
2018,"千度","風力_陸域",1682777.103
2018,"千度","風力_離岸",26710.091
2018,"千度","生質能_小計",191649.3148
2018,"千度","生質能_固態",166439.8597
2018,"千度","生質能_氣態",25209.45508
2018,"千度","廢棄物",3566596.973
2019,"千度","再生能源發電量合計",15266197.34
2019,"千度","慣常水力",5544795.913
2019,"千度","地熱",756.709
2019,"千度","太陽光電",4017030.991
2019,"千度","風力_小計",1892231.711
2019,"千度","風力_陸域",1715854.79
2019,"千度","風力_離岸",176376.921
2019,"千度","生質能_小計",176520.8753
2019,"千度","生質能_固態",151433.8272
2019,"千度","生質能_氣態",25087.04811
2019,"千度","廢棄物",3634861.145
2020,"千度","再生能源發電量合計",15186107.79
2020,"千度","慣常水力",3019152.286
2020,"千度","地熱",1911.729
2020,"千度","太陽光電",6074673.743
2020,"千度","風力_小計",2308871.786
2020,"千度","風力_陸域",1792791.113
2020,"千度","風力_離岸",516080.673
2020,"千度","生質能_小計",211753.8764
2020,"千度","生質能_固態",141365.5088
2020,"千度","生質能_氣態",70388.36766
2020,"千度","廢棄物",3569744.366
2021,"千度","再生能源發電量合計",17530932.15
2021,"千度","慣常水力",3474662.535
2021,"千度","地熱",9073.84501
2021,"千度","太陽光電",7970190.534
2021,"千度","風力_小計",2270783.86
2021,"千度","風力_陸域",1701479.848
2021,"千度","風力_離岸",569304.012
2021,"千度","生質能_小計",201707.4768
2021,"千度","生質能_固態",153172.2667
2021,"千度","生質能_氣態",48535.21014
2021,"千度","廢棄物",3604513.899
2022,"千度","再生能源發電量合計",23885399.12
2022,"千度","慣常水力",5836502.664
2022,"千度","地熱",25007.71
2022,"千度","太陽光電",10676987.89
2022,"千度","風力_小計",3577476.257
2022,"千度","風力_陸域",2082797.922
2022,"千度","風力_離岸",1494678.335
2022,"千度","生質能_小計",164296.2764
2022,"千度","生質能_固態",118278.4726
2022,"千度","生質能_氣態",46017.80379
2022,"千度","廢棄物",3605128.321
2023,"千度","再生能源發電量合計",26871225.93
2023,"千度","慣常水力",3963022.166
2023,"千度","地熱",23164.354
2023,"千度","太陽光電",12908689.68
2023,"千度","風力_小計",6238286.811
2023,"千度","風力_陸域",1741013.715
2023,"千度","風力_離岸",4497273.096
2023,"千度","生質能_小計",238611.7392
2023,"千度","生質能_固態",171191.473
2023,"千度","生質能_氣態",67420.26614
2023,"千度","廢棄物",3499451.184
